timestamp,temperature[C],humidity[%],
1771492642,25.06,55,
1771492647,28.41,50,
1771492652,29.58,40,
1771492657,27.79,51,
1771492662,25.14,55,
1771492667,29.90,55,
1771492672,22.87,47,
1771492677,27.71,44,
1771492682,28.71,53,
1771492687,24.26,43,
1771492692,21.99,44,
1771492697,21.69,48,
1771492702,24.06,58,
1771492707,22.31,56,
1771492954,21.48,53,
1771492959,22.66,54,
1771492964,21.90,52,
1771492969,21.10,45,
1771492974,29.68,43,
1771492979,23.80,49,
1771492984,26.84,50,
1771492989,28.72,41,
1771492994,26.75,48,
1771492999,23.45,48,
1771493004,28.09,53,
1771493009,20.71,57,
1771493014,25.68,43,
1771493019,22.36,47,
1771493024,20.89,57,
1771493031,25.22,47,
1771493034,26.95,51,
1771493039,25.00,49,
1771493044,20.14,46,
1771493049,26.00,48,
1771493054,29.32,44,
1771493059,24.03,55,
1771493064,28.00,47,
1771493069,21.40,58,
1771493085,29.55,50,
1771493085,25.32,51,
1771493089,29.75,53,
1771493094,20.31,48,
1771493099,28.26,57,
1771493104,29.13,48,
1771493109,20.88,58,
1771493114,22.14,49,
1771493119,29.24,44,
1771493124,23.81,41,
1771493129,23.07,45,
1771493134,20.48,43,
1771493139,23.37,47,
1771493144,25.89,41,
1771493149,22.58,49,
1771493154,25.19,52,
1771493159,20.32,51,
1771493164,29.85,40,
1771493169,28.09,52,
1771493174,20.31,49,
1771493179,21.92,52,
1771493184,24.09,44,
1771493189,21.35,43,
1771493194,26.23,44,
1771493199,28.79,42,
1771493204,23.65,42,
1771493209,22.10,50,
1771493214,24.34,41,
1771493219,27.41,59,
1771493224,29.45,56,
1771493229,26.13,53,
1771493234,23.42,42,
1771493239,27.68,46,
1771493244,22.96,43,
1771493249,25.66,44,
1771493254,29.55,43,
1771493259,21.27,46,
1771493264,27.74,51,
1771493269,29.55,41,
1771493274,28.34,45,
1771493279,25.70,51,
1771493284,23.19,54,
1771493289,24.10,59,
1771493294,27.54,57,
1771493299,21.87,52,
1771493304,25.02,44,
1771493309,26.65,57,
1771493314,27.36,55,
1771493319,29.38,40,
1771493324,27.93,44,
1771493329,27.79,57,
1771493334,24.23,41,
1771493339,20.74,41,
1771493344,26.50,47,
1771493349,27.93,49,
1771493354,22.28,56,
1771493359,29.43,57,
1771493364,20.30,50,
1771493369,29.35,50,
1771493374,21.75,56,
1771493379,22.90,46,
1771493384,24.51,40,
1771493389,24.79,47,
1771493394,23.83,40,
1771493399,22.59,55,
1771493404,27.26,46,
1771493409,20.00,58,
1771493414,25.93,55,
1771493419,22.69,47,
1771493424,29.59,48,
1771493429,21.09,59,
1771493434,20.54,40,
1771493439,21.51,51,
1771493444,27.03,45,
1771493449,23.49,51,
1771493950,20.63,48,
1771493955,28.39,40,
1771493960,28.52,47,
