timestamp,temp[Cel],hum[%RH],gas[Ohm]
1775233313,23.23,55.92,34316.54
1775233319,23.23,55.71,3996.39
1775233319,23.23,55.71,3996.39
1775233323,23.23,55.50,4549.03
1775233329,23.23,55.53,5052.56
1775233334,23.23,55.69,5470.31
1775233339,23.23,55.64,6371.34
1775233344,23.24,55.51,6792.68
1775233350,23.24,55.38,7255.82
1775233355,23.24,55.29,7635.74
1775233360,23.25,55.21,8041.19
1775233365,23.25,55.30,8419.47
1775233370,23.25,55.34,8821.90
1775233376,23.26,55.41,9185.49
1775233381,23.26,55.41,9503.26
1775233386,23.27,55.46,9827.42
1775233391,23.28,55.58,10156.98
1775233396,23.29,55.57,10472.14
1775233401,23.29,55.45,10777.91
1775233407,23.30,55.37,11081.24
1775233412,23.30,55.31,12380.69
1775233417,23.31,55.25,12699.50
1775233422,23.31,55.17,13078.38
1775233427,23.32,55.12,13373.94
1775233433,23.32,55.08,13651.60
1775233438,23.33,55.00,13990.47
1775233443,23.33,54.95,14277.37
1775233448,23.34,54.91,14549.40
1775233454,23.34,54.89,14934.94
1775233459,23.35,54.97,15116.14
1775233464,23.36,54.99,15421.42
1775233469,23.42,55.83,15492.07
1775233474,23.45,58.49,15614.69
1775233480,23.52,65.41,15583.86
1775233485,23.56,62.84,15718.38
1775233490,23.58,59.39,15876.51
1775233495,23.59,57.34,16059.62
1775233500,23.60,56.19,16393.27
1775233506,23.60,55.55,16623.51
1775233511,23.61,55.19,16896.41
1775233516,23.61,55.01,17165.97
1775233521,23.61,54.90,17482.92
1775233527,23.61,54.82,17652.41
1775233532,23.60,54.80,17960.45
1775233537,23.60,54.80,18097.76
1775233542,23.60,54.80,18464.80
1775233547,23.60,54.79,18609.96
1775233654,23.62,54.92,272219.91
1775233659,23.62,55.24,16404.63
1775233664,23.63,55.28,16981.26
1775233669,23.63,55.17,17879.06
1775233674,23.63,54.97,18566.18
1775233680,23.63,54.84,19074.84
1775233685,23.63,54.75,19515.15
1775233690,23.63,54.70,19809.10
1775233695,23.64,54.65,20354.15
1775233700,23.64,54.61,20656.09
1775233706,23.64,54.59,20985.71
1775233711,23.64,54.55,21154.49
1775233716,23.68,60.62,20967.12
1775233721,23.70,63.32,21154.49
1775233726,23.72,61.15,21230.38
1775233731,23.73,58.69,21578.74
1775233737,23.74,57.07,21697.41
1775233742,23.75,56.22,21959.07
1775233747,23.76,55.75,22123.25
1775233752,23.76,55.29,24340.60
1775233758,23.77,54.98,24631.57
1775233763,23.77,54.80,24890.30
1775233768,23.77,54.66,25074.68
1775233773,23.77,55.21,25087.95
1775233778,23.77,55.63,25465.42
1775233784,23.78,55.44,25616.83
1775233789,23.78,55.13,25910.96
1775233794,23.78,54.92,26154.05
1775233799,23.77,54.80,26431.20
1775233804,23.77,54.71,26505.11
1775233809,23.77,54.68,26804.94
1775233815,23.77,54.60,27065.19
1775233820,23.77,54.59,27251.95
1775233825,23.77,54.55,27457.21
1775233830,23.76,54.54,27714.12
1775233836,23.76,54.53,27811.70
1775233841,23.76,54.52,28008.95
1775233846,23.76,54.52,28192.23
1775233851,23.76,54.52,28480.25
1775233856,23.75,54.51,28600.57
1775233862,23.75,54.52,28739.32
1775233867,23.75,54.51,28949.99
1775233872,23.75,54.53,29181.74
1775233877,23.75,54.52,29308.06
1775233882,23.74,54.51,29472.10
1775233887,23.74,54.51,29675.10
1775233893,23.74,54.51,29975.42
1775233898,23.74,54.51,30089.61
1775233903,23.74,54.52,30262.54
1775233908,23.74,54.51,30243.23
1775233914,23.73,54.51,30417.93
1775233919,23.73,54.50,30634.22
1775233924,23.73,54.49,30713.64
1775233929,23.73,54.49,30873.71
1775233934,23.73,54.49,31035.46
1775233940,23.73,54.49,31219.46
1775233945,23.73,54.50,31364.09
1775233950,23.73,54.51,31552.02
1775233955,23.72,54.52,31552.02
1775233960,23.72,54.55,31784.80
1775233966,23.72,54.55,31999.42
1775233971,23.72,54.56,32086.08
1775233976,23.72,54.56,32238.87
1775233981,23.72,54.56,32348.90
1775233986,23.72,54.59,32459.69
1775233992,23.72,54.59,32661.02
1775233997,23.72,54.58,32910.52
1775234002,23.72,54.59,32979.22
1775234007,23.72,54.59,33048.21
1775234012,23.72,54.55,33327.10
1775234017,23.72,54.52,33256.94
1775234023,23.72,54.54,33397.56
1775234028,23.72,54.55,33563.13
1775234033,23.72,54.54,33658.48
1775234038,23.72,54.59,33802.52
1775234044,23.72,54.58,34045.36
1775234049,23.72,54.64,34118.89
1775234054,23.72,54.74,34266.91
1775234059,23.72,54.74,34242.15
1775234064,23.71,54.69,34341.41
1775234070,23.71,54.66,34491.37
1775234075,23.71,54.63,34541.65
1775234080,23.71,54.59,34820.82
1775234085,23.71,54.58,34897.75
1775234091,23.71,54.57,35026.71
1775234095,23.71,54.57,35182.73
1775234101,23.71,54.57,35261.27
1775234106,23.71,54.57,35392.93
1775234111,23.71,54.57,35552.24
1775234116,23.71,54.57,35739.93
1775234122,23.71,54.57,35605.66
1775234127,23.72,54.59,35848.06
1775234132,23.72,54.59,35739.93
1775234137,23.72,54.57,35984.16
1775234142,23.72,54.57,36011.50
1775234148,23.72,54.57,36176.44
1775234153,23.72,54.56,36287.24
1775234158,23.72,54.56,36342.90
1775234163,23.72,54.56,36482.79
1775234168,23.72,54.58,36822.95
1775234173,23.72,54.59,36737.32
1775234179,23.72,54.58,36794.36
1775234184,23.72,54.59,36937.75
1775234189,23.72,54.60,37257.18
1775234194,23.72,54.60,37198.70
1775234200,23.72,54.61,37374.71
1775234205,23.72,54.61,37315.86
1775234210,23.72,54.58,37582.19
1775234215,23.72,54.60,37701.78
1775234220,23.72,54.59,37582.19
1775234226,23.72,54.56,37701.78
1775234231,23.72,54.57,37912.91
1775234236,23.72,54.59,37973.67
1775234241,23.72,54.61,37973.67
1775234246,23.72,54.64,38435.64
1775234252,23.72,54.65,38498.08
1775234257,23.72,54.64,38529.38
1775234262,23.72,54.59,38623.59
1775234267,23.72,54.61,38435.64
1775234272,23.72,54.61,38592.13
1775234278,23.72,54.60,38781.62
1775234283,23.72,54.59,38908.98
1775234288,23.72,54.58,39005.05
1775234293,23.72,54.61,39069.36
1775234299,23.73,54.62,39231.07
1775234304,23.73,54.61,39231.07
1775234309,23.73,54.57,39361.41
1775234314,23.73,54.57,39426.91
1775234319,23.73,54.78,39459.73
1775234324,23.73,54.94,39394.13
1775234330,23.73,54.94,39525.55
1775234335,23.73,54.84,39558.55
1775234340,23.73,54.72,39791.05
1775234345,23.74,54.66,39824.49
1775234350,23.74,54.59,39791.05
1775234356,23.74,54.57,39958.80
1775234361,23.74,54.53,39992.52
1775234366,23.74,54.52,40161.98
1775234371,23.74,54.49,40298.59
1775234377,23.74,54.50,40505.25
1775234382,23.75,54.48,40470.66
1775234387,23.75,54.51,40539.90
1775234392,23.75,54.52,40367.24
1775234397,23.75,54.52,40819.24
1775234402,23.75,54.51,40749.05
1775234408,23.75,54.50,40995.80
1775234413,23.75,54.51,40995.80
1775234418,23.75,54.50,41102.46
1775234423,23.76,54.50,40995.80
1775234428,23.76,54.50,41209.69
1775234434,23.76,54.47,41173.88
1775234439,23.76,54.48,41281.48
1775234444,23.76,54.51,41462.07
1775234449,23.76,54.66,41498.37
1775234455,23.77,54.71,41498.37
1775234459,23.77,54.95,41534.74
1775234465,23.78,55.03,41498.37
1775234470,23.78,55.06,41534.74
1775234475,23.78,54.99,41644.23
1775234480,23.79,54.85,41864.96
